GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201712250030,2017-12-24,"Germany","Berlin","Unknown",0,0,0,Private Citizens & Property,Western Europe,,,,Armed Assault,Incendiary
201712240021,2017-12-24,"Germany","Berlin","Unknown",0,,,,,0,1,Private Citizens & Property,,,Western Europe,Armed Assault,,,Incendiary,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),,
201711270022,2017-11-27,"Germany","Altena","Unknown",0,,,,,0,2,Government (General),,,Western Europe,Assassination,,,Melee,,,
201708210020,2017-08-21,"Germany","Herne","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201707280023,2017-07-28,"Germany","Hamburg","Jihadi-inspired extremists",0,,,,,1,7,Private Citizens & Property,,,Western Europe,Armed Assault,,,Melee,,,
201707270034,2017-07-27,"Germany","Dresden","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201707060020,2017-07-06,"Germany","Hamburg","Anarchists",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706290020,2017-06-29,"Germany","Berlin","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201706190033,2017-06-19,"Germany","Bad Bevensen","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190032,2017-06-19,"Germany","Bremen","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190031,2017-06-19,"Germany","Dortmund","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190030,2017-06-19,"Germany","Cologne","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190029,2017-06-19,"Germany","Hamburg","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190028,2017-06-19,"Germany","Berlin","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190027,2017-06-19,"Germany","Leipzig","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190026,2017-06-19,"Germany","Leipzig","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190025,2017-06-19,"Germany","Engelsdorf","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201706190024,2017-06-19,"Germany","Leipzig","Shutdown G20: Take Hamburg offline!",0,,,,,0,0,Transportation,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201704270019,2017-04-27,"Germany","Weil am Rhein","Kurdistan Workers' Party (PKK)",1,"Anti-Muslim extremists",1,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201704140016,2017-04-14,"Germany","Kremmen","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Armed Assault,,,Incendiary,,,
201704140015,2017-04-14,"Germany","Artern","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Armed Assault,,,Incendiary,,,
201703270038,2017-03-27,"Germany","Hamburg","Left-wing extremists",0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201703170026,2017-03-17,"Germany","Hamburg","Fire and Flame for the Police (FFdP)",0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201703170025,2017-03-17,"Germany","Hamburg","Fire and Flame for the Police (FFdP)",0,,,,,0,0,Police,Government (General),,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201703150001,2017-03-15,"Germany","Berlin","Conspiracy of Cells of Fire",0,"Revolutionary Struggle",1,,,0,0,Government (General),,,Western Europe,Assassination,,,Explosives/Bombs/Dynamite,,,
201703080057,2017-03-08,"Germany","Berlin","Animal Rights extremists",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201702280052,2017-02-28,"Germany","Berlin","Conspiracy of Vengeful Arsonists",0,,,0,0,Business,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,
